행정구역,2021년01월_총인구수,2021년02월_총인구수,2021년03월_총인구수,2021년04월_총인구수,2021년05월_총인구수,2021년06월_총인구수,2021년07월_총인구수,2021년08월_총인구수,2021년09월_총인구수,2021년10월_총인구수,2021년11월_총인구수,2021년12월_총인구수,2022년01월_총인구수,2022년02월_총인구수,2022년03월_총인구수,2022년04월_총인구수,2022년05월_총인구수,2022년06월_총인구수,2022년07월_총인구수,2022년08월_총인구수,2022년09월_총인구수,2022년10월_총인구수,2022년11월_총인구수,2022년12월_총인구수,2023년01월_총인구수,2023년02월_총인구수,2023년03월_총인구수,2023년04월_총인구수,2023년05월_총인구수,2023년06월_총인구수,2023년07월_총인구수,2023년08월_총인구수,2023년09월_총인구수,2023년10월_총인구수,2023년11월_총인구수,2023년12월_총인구수
전국  (1000000000),"51,825,932","51,824,142","51,705,905","51,702,100","51,683,025","51,672,400","51,671,569","51,669,716","51,667,688","51,662,290","51,652,704","51,638,809","51,632,473","51,625,561","51,610,695","51,592,660","51,583,722","51,578,178","51,574,446","51,558,441","51,466,658","51,459,626","51,450,829","51,439,038","51,430,018","51,421,479","51,414,281","51,408,155","51,400,521","51,392,745","51,387,133","51,377,213","51,370,001","51,354,226","51,337,076","51,325,329"
서울특별시  (1100000000),"9,657,969","9,648,606","9,598,484","9,588,711","9,575,355","9,565,990","9,558,153","9,550,227","9,542,256","9,532,428","9,520,880","9,509,458","9,505,926","9,508,451","9,506,778","9,500,480","9,496,887","9,494,807","9,493,211","9,488,454","9,450,768","9,443,722","9,436,836","9,428,372","9,424,873","9,427,583","9,426,404","9,422,710","9,418,885","9,414,093","9,411,260","9,409,466","9,407,540","9,400,249","9,390,925","9,386,034"
부산광역시  (2600000000),"3,389,388","3,387,761","3,372,399","3,369,704","3,367,334","3,364,358","3,361,781","3,359,527","3,358,763","3,356,311","3,353,627","3,350,380","3,348,874","3,347,396","3,343,504","3,340,214","3,338,167","3,336,737","3,334,595","3,331,444","3,323,826","3,322,286","3,320,276","3,317,812","3,316,107","3,315,516","3,313,539","3,311,402","3,309,261","3,306,993","3,305,052","3,302,740","3,300,836","3,298,213","3,295,496","3,293,362"
대구광역시  (2700000000),"2,415,813","2,413,191","2,408,875","2,406,296","2,402,940","2,397,646","2,395,749","2,393,626","2,392,787","2,390,721","2,388,230","2,385,412","2,383,858","2,381,095","2,380,494","2,378,573","2,376,676","2,375,306","2,374,120","2,371,936","2,367,735","2,366,852","2,365,619","2,363,691","2,362,880","2,360,662","2,358,988","2,357,881","2,357,032","2,356,416","2,379,086","2,378,464","2,377,801","2,376,978","2,376,044","2,374,960"
인천광역시  (2800000000),"2,942,452","2,941,705","2,936,461","2,936,214","2,936,382","2,936,367","2,937,440","2,938,429","2,941,795","2,945,009","2,946,319","2,948,375","2,949,150","2,950,978","2,952,699","2,953,260","2,955,167","2,957,066","2,960,580","2,963,117","2,960,097","2,962,388","2,964,820","2,967,314","2,969,502","2,971,788","2,974,481","2,976,338","2,978,089","2,978,749","2,981,553","2,985,152","2,987,918","2,990,276","2,993,492","2,997,410"
광주광역시  (2900000000),"1,449,115","1,447,953","1,445,473","1,444,787","1,443,154","1,442,647","1,442,482","1,441,970","1,442,827","1,442,454","1,442,138","1,441,611","1,441,636","1,440,032","1,438,463","1,436,916","1,436,012","1,435,378","1,434,703","1,434,397","1,432,856","1,432,651","1,432,049","1,431,050","1,429,816","1,428,927","1,427,508","1,426,625","1,425,739","1,424,818","1,424,305","1,423,810","1,422,999","1,421,760","1,420,822","1,419,237"
대전광역시  (3000000000),"1,463,291","1,462,064","1,458,463","1,457,619","1,457,161","1,456,107","1,455,300","1,454,679","1,455,058","1,454,228","1,453,675","1,452,251","1,451,272","1,450,862","1,450,057","1,449,360","1,448,933","1,448,401","1,448,182","1,448,240","1,446,602","1,446,863","1,446,749","1,446,072","1,445,806","1,445,875","1,445,519","1,445,214","1,445,221","1,445,126","1,444,898","1,444,837","1,444,595","1,443,965","1,443,106","1,442,216"
울산광역시  (3100000000),"1,135,370","1,132,953","1,129,254","1,128,163","1,127,175","1,126,369","1,125,727","1,124,459","1,123,236","1,122,566","1,122,495","1,121,592","1,121,100","1,119,446","1,118,010","1,117,204","1,116,482","1,115,609","1,114,753","1,113,458","1,112,191","1,111,707","1,111,371","1,110,663","1,110,074","1,108,665","1,107,746","1,107,134","1,106,446","1,106,015","1,105,326","1,104,448","1,104,167","1,104,031","1,103,752","1,103,661"
세종특별자치시  (3600000000),"357,871","359,569","360,462","361,396","362,036","362,995","364,364","365,309","366,560","368,276","369,465","371,895","374,377","376,399","377,296","378,196","379,340","380,215","380,889","381,439","381,925","382,258","382,770","383,591","384,496","385,285","385,609","385,825","386,050","386,126","386,192","385,953","385,932","386,079","386,256","386,525"
경기도  (4100000000),"13,449,499","13,471,758","13,465,837","13,479,798","13,488,910","13,500,688","13,512,867","13,530,519","13,542,284","13,549,577","13,557,973","13,565,450","13,571,450","13,574,369","13,575,936","13,577,808","13,581,496","13,585,967","13,589,362","13,590,056","13,574,353","13,579,508","13,583,238","13,589,432","13,596,091","13,600,800","13,603,546","13,607,919","13,612,597","13,618,969","13,623,055","13,624,964","13,626,339","13,627,840","13,628,135","13,630,821"
강원도  (4200000000),"1,541,696","1,540,875","1,536,399","1,536,175","1,535,491","1,535,530","1,536,140","1,536,270","1,536,765","1,537,717","1,538,273","1,538,492","1,538,660","1,539,051","1,539,036","1,539,038","1,539,005","1,539,064","1,539,178","1,538,801","1,537,396","1,537,339","1,536,863","1,536,498","1,535,373","1,534,067","1,533,719","1,533,356","1,533,081",0,0,0,0,0,0,0
강원특별자치도  (5100000000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,532,617","1,532,050","1,531,390","1,530,712","1,529,500","1,528,635","1,527,807"
충청북도  (4300000000),"1,599,658","1,599,122","1,595,714","1,596,303","1,596,955","1,597,503","1,597,501","1,597,179","1,596,765","1,596,948","1,597,019","1,597,427","1,597,097","1,597,022","1,597,484","1,597,284","1,597,033","1,597,118","1,597,163","1,596,886","1,595,624","1,595,578","1,595,284","1,595,058","1,594,459","1,593,434","1,594,056","1,594,109","1,594,007","1,593,931","1,594,240","1,594,337","1,594,326","1,594,211","1,594,038","1,593,469"
충청남도  (4400000000),"2,119,837","2,119,542","2,115,823","2,116,452","2,117,260","2,117,400","2,118,205","2,118,183","2,118,098","2,118,977","2,119,529","2,119,257","2,118,638","2,118,912","2,119,099","2,119,296","2,119,661","2,120,201","2,121,011","2,121,082","2,120,269","2,121,333","2,122,357","2,123,037","2,122,913","2,123,625","2,124,650","2,125,333","2,125,833","2,126,374","2,126,640","2,127,077","2,127,630","2,128,563","2,129,591","2,130,119"
전라북도  (4500000000),"1,802,748","1,801,319","1,797,450","1,796,331","1,794,682","1,794,345","1,793,902","1,792,476","1,791,110","1,789,770","1,788,616","1,786,855","1,785,392","1,783,923","1,782,205","1,780,824","1,779,230","1,778,279","1,776,949","1,775,664","1,772,596","1,771,776","1,770,839","1,769,607","1,768,229","1,766,524","1,765,175","1,764,181","1,763,004","1,762,021","1,761,169","1,759,815","1,758,661","1,757,295","1,756,183","1,754,757"
전북특별자치도  (5200000000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도  (4600000000),"1,850,575","1,849,795","1,844,811","1,844,148","1,842,423","1,840,921","1,839,698","1,838,353","1,835,690","1,834,653","1,833,864","1,832,803","1,832,604","1,831,451","1,829,501","1,828,550","1,827,674","1,826,440","1,825,534","1,824,104","1,820,458","1,819,157","1,818,484","1,817,697","1,816,707","1,814,858","1,813,872","1,813,439","1,812,475","1,811,554","1,810,071","1,808,339","1,807,295","1,805,823","1,804,875","1,804,217"
경상북도  (4700000000),"2,637,639","2,636,747","2,635,563","2,635,896","2,633,592","2,632,401","2,631,649","2,630,254","2,628,344","2,627,925","2,627,468","2,626,609","2,624,310","2,622,026","2,619,641","2,617,552","2,616,177","2,613,963","2,612,016","2,609,356","2,605,066","2,603,389","2,602,052","2,600,492","2,597,527","2,594,399","2,593,210","2,592,205","2,590,726","2,588,860","2,564,065","2,561,623","2,559,924","2,558,085","2,556,262","2,554,324"
경상남도  (4800000000),"3,338,396","3,336,045","3,330,463","3,329,623","3,327,298","3,325,840","3,324,735","3,322,373","3,319,271","3,318,161","3,316,365","3,314,183","3,311,438","3,307,005","3,303,274","3,300,692","3,298,016","3,295,615","3,293,709","3,290,991","3,286,470","3,284,495","3,282,849","3,280,493","3,277,672","3,272,381","3,269,228","3,267,369","3,265,018","3,263,251","3,261,361","3,258,309","3,257,009","3,255,239","3,253,619","3,251,158"
제주특별자치도  (5000000000),"674,615","675,137","673,974","674,484","674,877","675,293","675,876","675,883","676,079","676,569","676,768","676,759","676,691","677,143","677,218","677,413","677,766","678,012","678,491","679,016","678,426","678,324","678,373","678,159","677,493","677,090","677,031","677,115","677,057","676,832","676,810","676,489","676,317","676,119","675,845","675,252"
